,STR,LYM
"2020-07-21/722815_1A,1B",0.19,0.10277719335156771
"2020-07-21/723590_2A,2B",0.15073313782991207,0.09018181818181822
"2020-07-22/705909_8B,8C",0.0,0.024479166666666666
"2020-07-22/707707_A,B",0.23469387755102042,0.08997752808988763
"2020-07-22/708683_9B,9C",0.21052631578947367,0.22
"2020-07-23/710294_1A,1B",0.07,0.13873684210526324
"2020-07-23/711378_5A,5B",0.24210526315789474,0.21
"2020-07-23/713670_A,B",0.04040404040404041,0.18
"2020-07-23/713710_A,B",0.32879699248120303,0.1010781977074112
"2020-07-23/714977_10A,10B",0.21212121212121213,0.25204081632653064
"2020-07-23/715266_1A,1B",0.17287014061207606,0.1814545454545454
"2020-07-23/715478_A,B",0.14130434782608695,0.0
"2020-07-23/716838_A,B",0.3103448275862069,0.041237113402061855
"2020-07-23/717298_4B,4C",0.26,0.19947368421052653
"2020-07-23/717577_B,C",0.2163555307885205,0.08
"2020-07-23/717996_10B,11A",0.11,0.2
"2020-07-23/718731_6B,6C",0.021580756013745706,0.061855670103092786
"2020-07-23/718805_A,B",0.29292929292929293,0.07303921568627468
"2020-07-24/670525_1A,1B",0.18072727272727274,0.14114285714285718
"2020-07-24/670743_1A,1B",0.0,0.0
"2020-07-24/699651_3A,3B",0.08,0.08
"2020-07-24/700047_1A,1B",0.25510204081632654,0.1488235294117651
"2020-07-25/653549_1A,1B",0.21348314606741575,0.06976744186046512
"2020-07-25/654082_7B,7C",0.3402061855670103,0.045454545454545456
"2020-07-25/656650_A,B",0.24242424242424243,0.08247422680412371
"2020-07-25/662814_1A,1B",0.22995402298850576,0.10843373493975904
"2020-07-25/666806_10A,10B",0.23333333333333334,0.08163265306122448
"2020-07-25/667014_7B,7C",0.043010752688172046,0.20101010101010103
"2020-07-25/674856_2A,2B",0.21980219780219784,0.08426404995539705
"2020-07-25/675056_10B,10C",0.23469387755102042,0.17969248965109408
"2020-07-25/676429_1A,1B",0.06841692789968656,0.13
"2020-07-25/677429_7B,7C",0.05263157894736842,0.18181818181818182
"2020-07-25/679441_7A,7B",0.13580246913580246,0.16194599051741917
"2020-07-25/679616_8B,8C",0.17544117647058832,0.09
"2020-07-25/681207_2A,2B",0.20202020202020202,0.15
"2020-07-25/684294_7B,7C",0.29591836734693877,0.0875
"2020-07-25/692334_11B,11C",0.16761006289308175,0.042524916943521576
"2020-07-25/692717_10A,10B",0.10204081632653061,0.0
"2020-07-25/696917_8B,8C",0.1111111111111111,0.2038754895897754
"2020-07-27/490791_1,2",0.20408163265306123,0.16595876288659817
2020-07-27/493847_10B,0.29,0.1838383838383839
"2020-07-27/500707_2,3",0.0,0.0
"2020-07-27/506864_1A,1B",0.15912195121951223,0.19
"2020-07-27/509615_3F,3G",0.3,0.011111111111111112
"2020-07-27/525188_7B,7C",0.1720712277413309,0.125
"2020-07-27/531267_9B,9C",0.0,0.0
"2020-07-27/532492_1A,1B",0.22680412371134023,0.09090909090909091
"2020-07-28/434149_2D,3A",0.17500000000000035,0.04081632653061224
"2020-07-28/464861_8A,8B",0.23232323232323232,0.03488372093023256
"2020-07-28/466621_A,B",0.1402535211267606,0.15228445099484156
"2020-07-28/482040_7B,7C",0.0,0.0
"2020-07-28/483718_7A,7B",0.03076923076923077,0.0
"2020-07-28/485580_1A,1B",0.151669758812616,0.15
"2020-07-28/485778_1A,1B",0.24189705031810313,0.09278350515463918
"2020-07-28/486420_6B,6C",0.30183509950891707,0.05
other/336647_7B,0.1656429734129139,0.1714862914862915
"other/339345_6,7A",0.047619047619047616,0.0
"other/363202_1A,1B",0.16161616161616163,0.05
"other/371327_A,B",0.21882621951219522,0.1417057169634493
